"Calendar year","ABS remoteness area","Age group","Sex","Road user","Hospitalisations"
2013,"Major Cities","40-64","intersex or indeterminate or missing","Car",1
2013,"Major Cities","65-74","Female","Car",475
2013,"Major Cities","65-74","Female","Motorcyclist",8
2013,"Major Cities","65-74","Female","Other",123
2013,"Major Cities","65-74","Female","Pedal cyclist",47
2013,"Major Cities","65-74","Male","Car",349
2013,"Major Cities","65-74","Male","Heavy transport vehicle",10
2013,"Major Cities","65-74","Male","Motorcyclist",109
2013,"Major Cities","65-74","Male","Other",119
2013,"Major Cities","65-74","Male","Pedal cyclist",185
2013,"Major Cities","75+","Female","Car",513
2013,"Major Cities","75+","Female","Heavy transport vehicle",1
2013,"Major Cities","75+","Female","Motorcyclist",7
2013,"Major Cities","75+","Female","Other",204
2013,"Major Cities","75+","Female","Pedal cyclist",7
2013,"Major Cities","75+","Male","Car",410
2013,"Major Cities","75+","Male","Heavy transport vehicle",1
2013,"Major Cities","75+","Male","Motorcyclist",42
2013,"Major Cities","75+","Male","Other",152
2013,"Major Cities","75+","Male","Pedal cyclist",64
2013,"Major Cities","8-16","Female","Car",222
2013,"Major Cities","8-16","Female","Motorcyclist",25
2013,"Major Cities","8-16","Female","Other",90
2013,"Major Cities","8-16","Female","Pedal cyclist",99
2013,"Major Cities","8-16","Male","Car",175
2013,"Major Cities","8-16","Male","Heavy transport vehicle",2
2013,"Major Cities","8-16","Male","Motorcyclist",159
2013,"Major Cities","8-16","Male","Other",132
2013,"Major Cities","8-16","Male","Pedal cyclist",437
2013,"Regional","0-7","Female","Car",66
2013,"Regional","0-7","Female","Motorcyclist",5
2013,"Regional","0-7","Female","Other",17
2013,"Regional","0-7","Female","Pedal cyclist",18
2013,"Regional","0-7","Male","Car",49
2013,"Regional","0-7","Male","Motorcyclist",14
2013,"Regional","0-7","Male","Other",22
2013,"Regional","0-7","Male","Pedal cyclist",44
2013,"Regional","17-25","Female","Car",641
2013,"Regional","17-25","Female","Heavy transport vehicle",1
2013,"Regional","17-25","Female","Motorcyclist",45
2013,"Regional","17-25","Female","Other",30
2013,"Regional","17-25","Female","Pedal cyclist",17
2013,"Regional","17-25","Male","Car",760
2013,"Regional","17-25","Male","Heavy transport vehicle",18
2013,"Regional","17-25","Male","Motorcyclist",686
2013,"Regional","17-25","Male","Other",84
2013,"Regional","17-25","Male","Pedal cyclist",150
2013,"Regional","26-39","Female","Car",430
2013,"Regional","26-39","Female","Heavy transport vehicle",1
2013,"Regional","26-39","Female","Motorcyclist",63
2013,"Regional","26-39","Female","Other",29
2013,"Regional","26-39","Female","Pedal cyclist",32
2013,"Regional","26-39","Male","Car",587
2013,"Regional","26-39","Male","Heavy transport vehicle",62
2013,"Regional","26-39","Male","Motorcyclist",562
2013,"Regional","26-39","Male","Other",78
2013,"Regional","26-39","Male","Pedal cyclist",167
2013,"Regional","40-64","Female","Car",663
2013,"Regional","40-64","Female","Heavy transport vehicle",6
2013,"Regional","40-64","Female","Motorcyclist",130
2013,"Regional","40-64","Female","Other",55
2013,"Regional","40-64","Female","Pedal cyclist",122
2013,"Regional","40-64","Male","Car",708
2013,"Regional","40-64","Male","Heavy transport vehicle",136
2013,"Regional","40-64","Male","Motorcyclist",805
2013,"Regional","40-64","Male","Other",93
2013,"Regional","40-64","Male","Pedal cyclist",324
2013,"Regional","65-74","Female","Car",229
2013,"Regional","65-74","Female","Motorcyclist",3
2013,"Regional","65-74","Female","Other",19
2013,"Regional","65-74","Female","Pedal cyclist",22
2013,"Regional","65-74","Male","Car",190
2013,"Regional","65-74","Male","Heavy transport vehicle",13
2013,"Regional","65-74","Male","Motorcyclist",75
2013,"Regional","65-74","Male","Other",23
2013,"Regional","65-74","Male","Pedal cyclist",58
2013,"Regional","75+","Female","Car",249
2013,"Regional","75+","Female","Motorcyclist",0
2013,"Regional","75+","Female","Other",41
2013,"Regional","75+","Female","Pedal cyclist",5
2013,"Regional","75+","Male","Car",204
2013,"Regional","75+","Male","Motorcyclist",24
2013,"Regional","75+","Male","Other",28
2013,"Regional","75+","Male","Pedal cyclist",27
2013,"Regional","8-16","Female","Car",137
2013,"Regional","8-16","Female","Motorcyclist",16
2013,"Regional","8-16","Female","Other",16
2013,"Regional","8-16","Female","Pedal cyclist",47
2013,"Regional","8-16","Male","Car",120
2013,"Regional","8-16","Male","Heavy transport vehicle",2
2013,"Regional","8-16","Male","Motorcyclist",209
2013,"Regional","8-16","Male","Other",47
2013,"Regional","8-16","Male","Pedal cyclist",254
2013,"Remote","0-7","Female","Car",7
2013,"Remote","0-7","Female","Motorcyclist",1
2013,"Remote","0-7","Female","Other",5
2013,"Remote","0-7","Female","Pedal cyclist",1
2013,"Remote","0-7","Male","Car",12
2013,"Remote","0-7","Male","Motorcyclist",2
2013,"Remote","0-7","Male","Other",2
2013,"Remote","0-7","Male","Pedal cyclist",9
2013,"Remote","17-25","Female","Car",78
2013,"Remote","17-25","Female","Motorcyclist",9
2013,"Remote","17-25","Female","Other",4
2013,"Remote","17-25","Male","Car",136
2013,"Remote","17-25","Male","Heavy transport vehicle",2
2013,"Remote","17-25","Male","Motorcyclist",87
2013,"Remote","17-25","Male","Other",12
2013,"Remote","17-25","Male","Pedal cyclist",6
2013,"Remote","26-39","Female","Car",70
2013,"Remote","26-39","Female","Heavy transport vehicle",1
2013,"Remote","26-39","Female","Motorcyclist",8
2013,"Remote","26-39","Female","Other",7
2013,"Remote","26-39","Female","Pedal cyclist",2
2013,"Remote","26-39","Male","Car",106
2013,"Remote","26-39","Male","Heavy transport vehicle",3
2013,"Remote","26-39","Male","Motorcyclist",80
2013,"Remote","26-39","Male","Other",28
2013,"Remote","26-39","Male","Pedal cyclist",17
2013,"Remote","40-64","Female","Car",69
2013,"Remote","40-64","Female","Motorcyclist",5
2013,"Remote","40-64","Female","Other",6
2013,"Remote","40-64","Female","Pedal cyclist",8
2013,"Remote","40-64","Male","Car",85
2013,"Remote","40-64","Male","Heavy transport vehicle",17
2013,"Remote","40-64","Male","Motorcyclist",65
2013,"Remote","40-64","Male","Other",13
2013,"Remote","40-64","Male","Pedal cyclist",15
2013,"Remote","65-74","Female","Car",15
2013,"Remote","65-74","Female","Motorcyclist",1
2013,"Remote","65-74","Male","Car",10
2013,"Remote","65-74","Male","Motorcyclist",9
2013,"Remote","65-74","Male","Other",1
2013,"Remote","65-74","Male","Pedal cyclist",4
2013,"Remote","75+","Female","Car",5
2013,"Remote","75+","Female","Other",2
2013,"Remote","75+","Male","Car",11
2013,"Remote","75+","Male","Other",1
2013,"Remote","8-16","Female","Car",21
2013,"Remote","8-16","Female","Motorcyclist",15
2013,"Remote","8-16","Female","Other",2
2013,"Remote","8-16","Female","Pedal cyclist",8
2013,"Remote","8-16","Male","Car",26
2013,"Remote","8-16","Male","Heavy transport vehicle",0
2013,"Remote","8-16","Male","Motorcyclist",45
2013,"Remote","8-16","Male","Other",1
2013,"Remote","8-16","Male","Pedal cyclist",23
2014,"Major Cities","0-7","Female","Car",90
2014,"Major Cities","0-7","Female","Motorcyclist",5
2014,"Major Cities","0-7","Female","Other",23
2014,"Major Cities","0-7","Female","Pedal cyclist",38
2014,"Major Cities","0-7","Male","Car",80
2014,"Major Cities","0-7","Male","Motorcyclist",11
2014,"Major Cities","0-7","Male","Other",70
2014,"Major Cities","0-7","Male","Pedal cyclist",110
2014,"Major Cities","17-25","Female","Car",1281
2014,"Major Cities","17-25","Female","Heavy transport vehicle",3
2014,"Major Cities","17-25","Female","Motorcyclist",106
2014,"Major Cities","17-25","Female","Other",157
2014,"Major Cities","17-25","Female","Pedal cyclist",121
